Size;Measure;Time_1st_level;Time_2nd_level
2751;8;0.037000;76.210000
2751;9;0.037000;76.243000
2801;0;0.037000;0.016000
2801;1;0.037000;79.224000
2801;2;0.037000;78.962000
2801;3;0.036000;78.945000
2801;4;0.037000;79.070000
2801;5;0.038000;78.985000
2801;6;0.037000;78.876000
2801;7;0.037000;79.161000
2801;8;0.037000;78.941000
2801;9;0.037000;78.965000
2851;0;0.037000;81.955000
2851;1;0.037000;81.921000
2851;2;0.036000;81.841000
2851;3;0.038000;81.831000
2851;4;0.037000;81.770000
2851;5;0.036000;81.973000
2851;6;0.038000;81.786000
2851;7;0.037000;81.836000
2851;8;0.038000;82.667000
2851;9;0.039000;82.443000
2901;0;0.039000;85.246000
2901;1;0.037000;84.618000
2901;2;0.038000;84.690000
2901;3;0.038000;84.698000
2901;4;0.038000;84.808000
2901;5;0.038000;84.825000
2901;6;0.038000;84.728000
2901;7;0.039000;84.738000
2901;8;0.037000;84.816000
2901;9;0.038000;85.127000
2951;0;0.037000;88.028000
2951;1;0.037000;87.664000
2951;2;0.039000;87.732000
2951;3;0.038000;87.555000
2951;4;0.039000;87.580000
2951;5;0.039000;87.621000
2951;6;0.037000;87.662000
2951;7;0.038000;88.548000
2951;8;0.040000;88.194000
2951;9;0.039000;88.392000
3001;0;0.038000;90.632000
3001;1;0.040000;90.556000
3001;2;0.039000;90.534000
3001;3;0.040000;91.053000
3001;4;0.040000;90.627000
3001;5;0.038000;90.502000
3001;6;0.039000;90.607000
3001;7;0.039000;90.821000
3001;8;0.039000;90.948000
3001;9;0.039000;90.561000
3051;0;0.039000;93.684000
3051;1;0.040000;93.812000
3051;2;0.040000;94.113000
3051;3;0.041000;93.733000
3051;4;0.039000;94.492000
3051;5;0.039000;93.573000
3051;6;0.039000;93.680000
3051;7;0.040000;93.702000
3051;8;0.039000;93.718000
3051;9;0.039000;93.934000
3101;0;0.042000;96.976000
3101;1;0.041000;96.760000
3101;2;0.041000;96.765000
3101;3;0.039000;96.597000
3101;4;0.040000;96.763000
3101;5;0.040000;96.745000
3101;6;0.039000;96.743000
3101;7;0.041000;97.203000
3101;8;0.040000;96.647000
3101;9;0.041000;96.703000
3151;0;0.041000;99.934000
3151;1;0.041000;100.039000
3151;2;0.055000;99.767000
3151;3;0.040000;100.195000
3151;4;0.041000;99.946000
3151;5;0.041000;100.136000
3151;6;0.041000;100.234000
3151;7;0.041000;99.840000
3151;8;0.041000;99.946000
3151;9;0.041000;99.918000
3201;0;0.042000;103.040000
3201;1;0.042000;103.253000
3201;2;0.041000;102.998000
3201;3;0.042000;103.219000
3201;4;0.043000;103.073000
3201;5;0.042000;103.119000
3201;6;0.041000;103.222000
3201;7;0.042000;103.578000
3201;8;0.042000;103.718000
3201;9;0.042000;103.142000
3251;0;0.041000;106.902000
3251;1;0.042000;106.279000
3251;2;0.041000;106.282000
3251;3;0.042000;106.390000
3251;4;0.042000;106.307000
3251;5;0.041000;106.181000
3251;6;0.041000;106.376000
3251;7;0.042000;106.357000
3251;8;0.041000;106.146000
3251;9;0.041000;106.331000
3301;0;0.041000;109.530000
3301;1;0.042000;109.531000
3301;2;0.041000;109.721000
3301;3;0.042000;109.655000
3301;4;0.042000;110.226000
3301;5;0.041000;110.183000
3301;6;0.041000;110.313000
3301;7;0.067000;110.383000
3301;8;0.042000;110.308000
3301;9;0.041000;109.718000
3351;0;0.042000;112.971000
3351;1;0.044000;113.026000
3351;2;0.043000;113.158000
3351;3;0.044000;113.053000
3351;4;0.043000;112.998000
3351;5;0.043000;112.953000
3351;6;0.042000;113.048000
3351;7;0.043000;113.135000
3351;8;0.044000;113.206000
3351;9;0.043000;113.187000
3401;0;0.042000;116.447000
3401;1;0.044000;116.387000
3401;2;0.043000;116.413000
3401;3;0.043000;116.282000
3401;4;0.042000;116.328000
3401;5;0.043000;116.283000
3401;6;0.043000;116.315000
3401;7;0.044000;116.348000
3401;8;0.042000;116.396000
3401;9;0.043000;116.501000
3451;0;0.042000;119.830000
3451;1;0.043000;119.758000
3451;2;0.043000;120.075000
3451;3;0.044000;120.186000
3451;4;0.043000;120.496000
3451;5;0.043000;119.848000
3451;6;0.043000;119.773000
3451;7;0.043000;119.694000
3451;8;0.044000;119.818000
3451;9;0.043000;119.898000
3501;0;0.044000;123.341000
3501;1;0.044000;123.225000
3501;2;0.044000;123.329000
3501;3;0.044000;123.260000
3501;4;0.044000;123.304000
3501;5;0.044000;123.970000
3501;6;0.045000;123.475000
3501;7;0.044000;123.417000
3501;8;0.045000;123.280000
3501;9;0.045000;123.430000
3551;0;0.044000;126.791000
3551;1;0.044000;126.918000
